"REF_DATE","GEO","DGUID","Population and dwelling counts (11)","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2021","Nunavut","2021A000262","Population percentage change, 2016 to 2021","","0","units","0","","14.3","2.5","","","","1"
"2021","Nunavut","2021A000262","Total private dwellings, 2021","","0","units","0","","14.4","11720","","","","0"
"2021","Nunavut","2021A000262","Total private dwellings, 2016","","0","units","0","","14.5","11433","","","","0"
"2021","Nunavut","2021A000262","Total private dwellings percentage change, 2016 to 2021","","0","units","0","","14.6","2.5","","","","1"
"2021","Nunavut","2021A000262","Private dwellings occupied by usual residents, 2021","","0","units","0","","14.7","9926","","","","0"
"2021","Nunavut","2021A000262","Private dwellings occupied by usual residents, 2016","","0","units","0","","14.8","9819","","","","0"
"2021","Nunavut","2021A000262","Private dwellings occupied by usual residents percentage change, 2016 to 2021","","0","units","0","","14.9","1.1","","","","1"
"2021","Nunavut","2021A000262","Land area in square kilometres, 2021","","0","units","0","","14.10","1836993.78","","","","2"
"2021","Nunavut","2021A000262","Population density per square kilometre, 2021","","0","units","0","","14.11","0.0","","","","1"


