"REF_DATE","GEO","DGUID","Area","Land cover and land use","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"1971","Barrie (census metropolitan area), Ontario","2011S0503568","Census metropolitan area-ecosystem/census agglomeration-ecosystem","Natural and semi-natural, total","Square kilometres","280","units ","0","v106960535","2.2.5","2363","","","","0"
"1971","Barrie (census metropolitan area), Ontario","2011S0503568","Census metropolitan area-ecosystem/census agglomeration-ecosystem","Natural and semi-natural, forest","Square kilometres","280","units ","0","v106960536","2.2.6","","..","","","0"
"1971","Barrie (census metropolitan area), Ontario","2011S0503568","Census metropolitan area-ecosystem/census agglomeration-ecosystem","Natural and semi-natural, water","Square kilometres","280","units ","0","v106960537","2.2.7","","..","","","0"
"1971","Barrie (census metropolitan area), Ontario","2011S0503568","Census metropolitan area-ecosystem/census agglomeration-ecosystem","Natural and semi-natural, other type of cover","Square kilometres","280","units ","0","v106960538","2.2.8","","..","","","0"
"1971","Bathurst (census agglomeration), New Brunswick","2011S0504328","Census metropolitan area/census agglomeration","Total land area","Square kilometres","280","units ","0","v122596390","38.1.1","2289","","","","0"
"1971","Bathurst (census agglomeration), New Brunswick","2011S0504328","Census metropolitan area/census agglomeration","Built-up area, settled","Square kilometres","280","units ","0","v122596391","38.1.2","","..","","","0"
"1971","Bathurst (census agglomeration), New Brunswick","2011S0504328","Census metropolitan area/census agglomeration","Built-up area, roads","Square kilometres","280","units ","0","v122596392","38.1.3","","..","","","0"
"1971","Bathurst (census agglomeration), New Brunswick","2011S0504328","Census metropolitan area/census agglomeration","Arable","Square kilometres","280","units ","0","v122596393","38.1.4","","..","","","0"
"1971","Bathurst (census agglomeration), New Brunswick","2011S0504328","Census metropolitan area/census agglomeration","Natural and semi-natural, total","Square kilometres","280","units ","0","v122596394","38.1.5","","..","","","0"
"1971","Bathurst (census agglomeration), New Brunswick","2011S0504328","Census metropolitan area/census agglomeration","Natural and semi-natural, forest","Square kilometres","280","units ","0","v122596395","38.1.6","","..","","","0"
"1971","Bathurst (census agglomeration), New Brunswick","2011S0504328","Census metropolitan area/census agglomeration","Natural and semi-natural, water","Square kilometres","280","units ","0","v122596396","38.1.7","","..","","","0"
"1971","Bathurst (census agglomeration), New Brunswick","2011S0504328","Census metropolitan area/census agglomeration","Natural and semi-natural, other type of cover","Square kilometres","280","units ","0","v122596397","38.1.8","","..","","","0"
"1971","Bathurst (census agglomeration), New Brunswick","2011S0504328","Census metropolitan area-ecosystem/census agglomeration-ecosystem","Total land area","Square kilometres","280","units ","0","v122596398","38.2.1","5391","","","","0"
"1971","Bathurst (census agglomeration), New Brunswick","2011S0504328","Census metropolitan area-ecosystem/census agglomeration-ecosystem","Built-up area, settled","Square kilometres","280","units ","0","v122596399","38.2.2","","..","","","0"
"1971","Bathurst (census agglomeration), New Brunswick","2011S0504328","Census metropolitan area-ecosystem/census agglomeration-ecosystem","Built-up area, roads","Square kilometres","280","units ","0","v122596400","38.2.3","","..","","","0"
"1971","Bathurst (census agglomeration), New Brunswick","2011S0504328","Census metropolitan area-ecosystem/census agglomeration-ecosystem","Arable","Square kilometres","280","units ","0","v122596401","38.2.4","40","","","","0"
"1971","Bathurst (census agglomeration), New Brunswick","2011S0504328","Census metropolitan area-ecosystem/census agglomeration-ecosystem","Natural and semi-natural, total","Square kilometres","280","units ","0","v122596402","38.2.5","","..","","","0"
"1971","Bathurst (census agglomeration), New Brunswick","2011S0504328","Census metropolitan area-ecosystem/census agglomeration-ecosystem","Natural and semi-natural, forest","Square kilometres","280","units ","0","v122596403","38.2.6","","..","","","0"
"1971","Bathurst (census agglomeration), New Brunswick","2011S0504328","Census metropolitan area-ecosystem/census agglomeration-ecosystem","Natural and semi-natural, water","Square kilometres","280","units ","0","v122596404","38.2.7","","..","","","0"
"1971","Bathurst (census agglomeration), New Brunswick","2011S0504328","Census metropolitan area-ecosystem/census agglomeration-ecosystem","Natural and semi-natural, other type of cover","Square kilometres","280","units ","0","v122596405","38.2.8","","..","","","0"
"1971","Belleville (census agglomeration), Ontario","2011S0504522","Census metropolitan area/census agglomeration","Total land area","Square kilometres","280","units ","0","v122596422","40.1.1","742","","","","0"
"1971","Belleville (census agglomeration), Ontario","2011S0504522","Census metropolitan area/census agglomeration","Built-up area, settled","Square kilometres","280","units ","0","v122596423","40.1.2","","..","","","0"
"1971","Belleville (census agglomeration), Ontario","2011S0504522","Census metropolitan area/census agglomeration","Built-up area, roads","Square kilometres","280","units ","0","v122596424","40.1.3","","..","","","0"
"1971","Belleville (census agglomeration), Ontario","2011S0504522","Census metropolitan area/census agglomeration","Arable","Square kilometres","280","units ","0","v122596425","40.1.4","","..","","","0"
"1971","Belleville (census agglomeration), Ontario","2011S0504522","Census metropolitan area/census agglomeration","Natural and semi-natural, total","Square kilometres","280","units ","0","v122596426","40.1.5","","..","","","0"
"1971","Belleville (census agglomeration), Ontario","2011S0504522","Census metropolitan area/census agglomeration","Natural and semi-natural, forest","Square kilometres","280","units ","0","v122596427","40.1.6","","..","","","0"
"1971","Belleville (census agglomeration), Ontario","2011S0504522","Census metropolitan area/census agglomeration","Natural and semi-natural, water","Square kilometres","280","units ","0","v122596428","40.1.7","","..","","","0"
"1971","Belleville (census agglomeration), Ontario","2011S0504522","Census metropolitan area/census agglomeration","Natural and semi-natural, other type of cover","Square kilometres","280","units ","0","v122596429","40.1.8","","..","","","0"
"1971","Belleville (census agglomeration), Ontario","2011S0504522","Census metropolitan area-ecosystem/census agglomeration-ecosystem","Total land area","Square kilometres","280","units ","0","v122596430","40.2.1","1813","","","","0"
"1971","Belleville (census agglomeration), Ontario","2011S0504522","Census metropolitan area-ecosystem/census agglomeration-ecosystem","Built-up area, settled","Square kilometres","280","units ","0","v122596431","40.2.2","","..","","","0"
"1971","Belleville (census agglomeration), Ontario","2011S0504522","Census metropolitan area-ecosystem/census agglomeration-ecosystem","Built-up area, roads","Square kilometres","280","units ","0","v122596432","40.2.3","","..","","","0"
"1971","Belleville (census agglomeration), Ontario","2011S0504522","Census metropolitan area-ecosystem/census agglomeration-ecosystem","Arable","Square kilometres","280","units ","0","v122596433","40.2.4","695","","","","0"
"1971","Belleville (census agglomeration), Ontario","2011S0504522","Census metropolitan area-ecosystem/census agglomeration-ecosystem","Natural and semi-natural, total","Square kilometres","280","units ","0","v122596434","40.2.5","","..","","","0"
"1971","Belleville (census agglomeration), Ontario","2011S0504522","Census metropolitan area-ecosystem/census agglomeration-ecosystem","Natural and semi-natural, forest","Square kilometres","280","units ","0","v122596435","40.2.6","","..","","","0"
"1971","Belleville (census agglomeration), Ontario","2011S0504522","Census metropolitan area-ecosystem/census agglomeration-ecosystem","Natural and semi-natural, water","Square kilometres","280","units ","0","v122596436","40.2.7","","..","","","0"
"1971","Belleville (census agglomeration), Ontario","2011S0504522","Census metropolitan area-ecosystem/census agglomeration-ecosystem","Natural and semi-natural, other type of cover","Square kilometres","280","units ","0","v122596437","40.2.8","","..","","","0"
"1971","Brandon (census agglomeration), Manitoba","2011S0504610","Census metropolitan area/census agglomeration","Total land area","Square kilometres","280","units ","0","v122596454","41.1.1","1703","","","","0"
"1971","Brandon (census agglomeration), Manitoba","2011S0504610","Census metropolitan area/census agglomeration","Built-up area, settled","Square kilometres","280","units ","0","v122596455","41.1.2","","..","","","0"
"1971","Brandon (census agglomeration), Manitoba","2011S0504610","Census metropolitan area/census agglomeration","Built-up area, roads","Square kilometres","280","units ","0","v122596456","41.1.3","","..","","","0"
"1971","Brandon (census agglomeration), Manitoba","2011S0504610","Census metropolitan area/census agglomeration","Arable","Square kilometres","280","units ","0","v122596457","41.1.4","","..","","","0"
"1971","Brandon (census agglomeration), Manitoba","2011S0504610","Census metropolitan area/census agglomeration","Natural and semi-natural, total","Square kilometres","280","units ","0","v122596458","41.1.5","","..","","","0"
"1971","Brandon (census agglomeration), Manitoba","2011S0504610","Census metropolitan area/census agglomeration","Natural and semi-natural, forest","Square kilometres","280","units ","0","v122596459","41.1.6","","..","","","0"
"1971","Brandon (census agglomeration), Manitoba","2011S0504610","Census metropolitan area/census agglomeration","Natural and semi-natural, water","Square kilometres","280","units ","0","v122596460","41.1.7","","..","","","0"
"1971","Brandon (census agglomeration), Manitoba","2011S0504610","Census metropolitan area/census agglomeration","Natural and semi-natural, other type of cover","Square kilometres","280","units ","0","v122596461","41.1.8","","..","","","0"
"1971","Brandon (census agglomeration), Manitoba","2011S0504610","Census metropolitan area-ecosystem/census agglomeration-ecosystem","Total land area","Square kilometres","280","units ","0","v122596462","41.2.1","8655","","","","0"
"1971","Brandon (census agglomeration), Manitoba","2011S0504610","Census metropolitan area-ecosystem/census agglomeration-ecosystem","Built-up area, settled","Square kilometres","280","units ","0","v122596463","41.2.2","","..","","","0"
"1971","Brandon (census agglomeration), Manitoba","2011S0504610","Census metropolitan area-ecosystem/census agglomeration-ecosystem","Built-up area, roads","Square kilometres","280","units ","0","v122596464","41.2.3","","..","","","0"
"1971","Brandon (census agglomeration), Manitoba","2011S0504610","Census metropolitan area-ecosystem/census agglomeration-ecosystem","Arable","Square kilometres","280","units ","0","v122596465","41.2.4","4773","","","","0"
"1971","Brandon (census agglomeration), Manitoba","2011S0504610","Census metropolitan area-ecosystem/census agglomeration-ecosystem","Natural and semi-natural, total","Square kilometres","280","units ","0","v122596466","41.2.5","","..","","","0"
"1971","Brandon (census agglomeration), Manitoba","2011S0504610","Census metropolitan area-ecosystem/census agglomeration-ecosystem","Natural and semi-natural, forest","Square kilometres","280","units ","0","v122596467","41.2.6","","..","","","0"
"1971","Brandon (census agglomeration), Manitoba","2011S0504610","Census metropolitan area-ecosystem/census agglomeration-ecosystem","Natural and semi-natural, water","Square kilometres","280","units ","0","v122596468","41.2.7","","..","","","0"
"1971","Brandon (census agglomeration), Manitoba","2011S0504610","Census metropolitan area-ecosystem/census agglomeration-ecosystem","Natural and semi-natural, other type of cover","Square kilometres","280","units ","0","v122596469","41.2.8","","..","","","0"
"1971","Brantford (census metropolitan area), Ontario","2011S0503543","Census metropolitan area/census agglomeration","Total land area","Square kilometres","280","units ","0","v106960539","3.1.1","1073","","","","0"
"1971","Brantford (census metropolitan area), Ontario","2011S0503543","Census metropolitan area/census agglomeration","Built-up area, settled","Square kilometres","280","units ","0","v106960540","3.1.2","24","","","","0"
"1971","Brantford (census metropolitan area), Ontario","2011S0503543","Census metropolitan area/census agglomeration","Built-up area, roads","Square kilometres","280","units ","0","v106960541","3.1.3","20","","","","0"
"1971","Brantford (census metropolitan area), Ontario","2011S0503543","Census metropolitan area/census agglomeration","Arable","Square kilometres","280","units ","0","v106960542","3.1.4","","..","","","0"
"1971","Brantford (census metropolitan area), Ontario","2011S0503543","Census metropolitan area/census agglomeration","Natural and semi-natural, total","Square kilometres","280","units ","0","v106960543","3.1.5","","..","","","0"
"1971","Brantford (census metropolitan area), Ontario","2011S0503543","Census metropolitan area/census agglomeration","Natural and semi-natural, forest","Square kilometres","280","units ","0","v106960544","3.1.6","","..","","","0"
"1971","Brantford (census metropolitan area), Ontario","2011S0503543","Census metropolitan area/census agglomeration","Natural and semi-natural, water","Square kilometres","280","units ","0","v106960545","3.1.7","","..","","","0"
"1971","Brantford (census metropolitan area), Ontario","2011S0503543","Census metropolitan area/census agglomeration","Natural and semi-natural, other type of cover","Square kilometres","280","units ","0","v106960546","3.1.8","","..","","","0"
"1971","Brantford (census metropolitan area), Ontario","2011S0503543","Census metropolitan area-ecosystem/census agglomeration-ecosystem","Total land area","Square kilometres","280","units ","0","v106960547","3.2.1","4196","","","","0"
"1971","Brantford (census metropolitan area), Ontario","2011S0503543","Census metropolitan area-ecosystem/census agglomeration-ecosystem","Built-up area, settled","Square kilometres","280","units ","0","v106960548","3.2.2","137","","","","0"
"1971","Brantford (census metropolitan area), Ontario","2011S0503543","Census metropolitan area-ecosystem/census agglomeration-ecosystem","Built-up area, roads","Square kilometres","280","units ","0","v106960549","3.2.3","96","","","","0"
"1971","Brantford (census metropolitan area), Ontario","2011S0503543","Census metropolitan area-ecosystem/census agglomeration-ecosystem","Arable","Square kilometres","280","units ","0","v106960550","3.2.4","2363","","","","0"
"1971","Brantford (census metropolitan area), Ontario","2011S0503543","Census metropolitan area-ecosystem/census agglomeration-ecosystem","Natural and semi-natural, total","Square kilometres","280","units ","0","v106960551","3.2.5","1600","","","","0"
"1971","Brantford (census metropolitan area), Ontario","2011S0503543","Census metropolitan area-ecosystem/census agglomeration-ecosystem","Natural and semi-natural, forest","Square kilometres","280","units ","0","v106960552","3.2.6","","..","","","0"
"1971","Brantford (census metropolitan area), Ontario","2011S0503543","Census metropolitan area-ecosystem/census agglomeration-ecosystem","Natural and semi-natural, water","Square kilometres","280","units ","0","v106960553","3.2.7","","..","","","0"
"1971","Brantford (census metropolitan area), Ontario","2011S0503543","Census metropolitan area-ecosystem/census agglomeration-ecosystem","Natural and semi-natural, other type of cover","Square kilometres","280","units ","0","v106960554","3.2.8","","..","","","0"
"1971","Brockville (census agglomeration), Ontario","2011S0504512","Census metropolitan area/census agglomeration","Total land area","Square kilometres","280","units ","0","v122596502","42.1.1","891","","","","0"
"1971","Brockville (census agglomeration), Ontario","2011S0504512","Census metropolitan area/census agglomeration","Built-up area, settled","Square kilometres","280","units ","0","v122596503","42.1.2","","..","","","0"
"1971","Brockville (census agglomeration), Ontario","2011S0504512","Census metropolitan area/census agglomeration","Built-up area, roads","Square kilometres","280","units ","0","v122596504","42.1.3","","..","","","0"
"1971","Brockville (census agglomeration), Ontario","2011S0504512","Census metropolitan area/census agglomeration","Arable","Square kilometres","280","units ","0","v122596505","42.1.4","","..","","","0"
"1971","Brockville (census agglomeration), Ontario","2011S0504512","Census metropolitan area/census agglomeration","Natural and semi-natural, total","Square kilometres","280","units ","0","v122596506","42.1.5","","..","","","0"
"1971","Brockville (census agglomeration), Ontario","2011S0504512","Census metropolitan area/census agglomeration","Natural and semi-natural, forest","Square kilometres","280","units ","0","v122596507","42.1.6","","..","","","0"
